player_name,first_name,last_name,team_id,position,number,date_of_birth,age,home_town,college,player_page
Abby Roque,Abby,Roque,sonnet,F,11,"September 25, 1997",25,"Sault Ste. Marie, MI",University of Wisconsin,https://stats.pwhpa.com/player/abby-roque/
Alexa Gruschow,Alexa,Gruschow,harveys,F,12,"April 16, 1994",28,"Mechanicsburg, PA",Rensselaer Polytechnic Institute (RPI),https://stats.pwhpa.com/player/alexa-gruschow/
Meaghan Mikkelson,Meaghan,Mikkelson,adidas,D,12,"January 4, 1985",38,"St. Albert, AB",University of Wisconsin,https://stats.pwhpa.com/player/meaghan-mikkelson/
Kelly Pannek,Kelly,Pannek,scotiabank,F,12,"December 29, 1995",27,"Plymouth, MN",University of Minnesota,https://stats.pwhpa.com/player/kelly-pannek/
Nikki Nightengale,Nikki,Nightengale,sonnet,D,13,"April 5, 1998",24,"Bloomington, MN",Augsburg University,https://stats.pwhpa.com/player/nikki-nightengale/
Jaime Bourbonnais,Jaime,Bourbonnais,scotiabank,D,14,"September 9, 1998",24,"Mississauga, ON",Cornell University,https://stats.pwhpa.com/player/jaime-bourbonnais/
Renata Fast,Renata,Fast,adidas,D,14,"October 6, 1994",28,"Burlington, ON",Clarkson University,https://stats.pwhpa.com/player/renata-fast/
Clair DeGeorge,Clair,DeGeorge,harveys,F,14,"June 7, 1999",23,"Anchorage, AK",Ohio State Univ. & Bemidji State Univ.,https://stats.pwhpa.com/player/clair-degeorge/
Mélodie Daoust,Mélodie,Daoust,scotiabank,F,15,"January 7, 1992",31,"Valleyfield, QC",McGill University,https://stats.pwhpa.com/player/melodie-daoust/
Savannah Harmon,Savannah,Harmon,harveys,D,15,"October 27, 1995",27,"Downers Grove, IL",Clarkson University,https://stats.pwhpa.com/player/savannah-harmon/
Lillian Ribeirinha-Braga,Lillian,Ribeirinha-Braga,sonnet,D,15,"August 27, 1994",28,"Winchester, MA",Boston University,https://stats.pwhpa.com/player/lillian-ribeirinha-braga/
Katelyn Gosling,Katelyn,Gosling,scotiabank,D,16,"May 10, 1993",29,"London, ON",Western University,https://stats.pwhpa.com/player/katelyn-gosling/
Hayley Scamurra,Hayley,Scamurra,harveys,F,16,"December 14, 1994",28,"Williamsville, NY",Northeastern University,https://stats.pwhpa.com/player/hayley-scamurra/
Ella Shelton,Ella,Shelton,scotiabank,D,17,"January 19, 1998",24,"Ingersoll, ON",Clarkson University,https://stats.pwhpa.com/player/ella-shelton/
Kaitlin Willoughby,Kaitlin,Willoughby,adidas,F,17,"March 26, 1995",27,"Prince Albert, SK",University of Saskatchewan,https://stats.pwhpa.com/player/kaitlin-willoughby/
Samantha Cogan,Samantha,Cogan,sonnet,F,17,"July 7, 1997",25,"Ottawa, ON",Wisconsin,https://stats.pwhpa.com/player/samantha-cogan/
Mélanie Desrochers,Mélanie,Desrochers,scotiabank,D,18,"April 15, 1992",30,"Welland, ON",St. Lawrence University,https://stats.pwhpa.com/player/melanie-desrochers/
Malia Schneider,Malia,Schneider,sonnet,F,18,"October 3, 1998",24,"Millarville, AB",Colgate University,https://stats.pwhpa.com/player/malia-schneider/
Halli Krzyzaniak,Halli,Krzyzaniak,adidas,D,18,"February 4, 1995",27,"Neepawa, MB",University of North Dakota,https://stats.pwhpa.com/player/halli-krzyzaniak/
Brianne Jenner,Brianne,Jenner,sonnet,F,19,"May 4, 1991",31,"Oakville, ON",Cornell University,https://stats.pwhpa.com/player/brianne-jenner/
Jincy Dunne,Jincy,Dunne,adidas,D,19,"May 15, 1997",25,"O'Fallon, MO",Ohio State University,https://stats.pwhpa.com/player/jincy-dunne/
Alexandra Poznikoff,Alexandra,Poznikoff,harveys,F,19,"May 16, 1997",25,"Edmonton, AB",University of Alberta,https://stats.pwhpa.com/player/alexandra-poznikoff/
Hannah Brandt,Hannah,Brandt,sonnet,F,20,"November 27, 1993",29,"Vadnais Heights, MN",University of Minnesota,https://stats.pwhpa.com/player/hannah-brandt/
Sarah Nurse,Sarah,Nurse,adidas,F,20,"January 4, 1995",28,"Hamilton, ON",University of Wisconsin - Madison,https://stats.pwhpa.com/player/sarah-nurse/
Kelly Gribbons,Kelly,Gribbons,adidas,F,21,"July 9, 1995",27,"Port Elgin, ON",University of Guelph,https://stats.pwhpa.com/player/kelly-gribbons/
Hilary Knight,Hilary,Knight,sonnet,F,21,"July 12, 1989",33,"Sun Valley, ID",Wisconsin,https://stats.pwhpa.com/player/hilary-knight/
Caroylne Prévost,Caroylne,Prévost,sonnet,F,22,"January 6, 1990",33,"Sarnia, ON",University of Wisconsin,https://stats.pwhpa.com/player/caroylne-prevost/
Jess Jones,Jess,Jones,adidas,F,22,"August 30, 1990",32,"Picton, ON",Mercyhurst University,https://stats.pwhpa.com/player/jess-jones/
Madison Field,Madison,Field,scotiabank,F,22,"April 8, 1997",25,"Oakville, ON",Ohio State University,https://stats.pwhpa.com/player/madison-field/
Mellissa Channell,Mellissa,Channell,harveys,D,22,"December 16, 1994",28,"Oakville, ON",University of Wisconsin - Madison,https://stats.pwhpa.com/player/mellissa-channell/
Erin Ambrose,Erin,Ambrose,sonnet,D,23,"April 30, 1994",28,"Keswick, ON",Clarkson University,https://stats.pwhpa.com/player/erin-ambrose/
Jessica DiGirolamo,Jessica,DiGirolamo,adidas,D,23,"February 13, 1999",23,"Toronto, ON",Syracuse University,https://stats.pwhpa.com/player/jessica-digirolamo/
Natalie Spooner,Natalie,Spooner,scotiabank,F,24,"October 17, 1990",32,"Scarborough, ON",Ohio State University,https://stats.pwhpa.com/player/natalie-spooner/
Jacquie Greco,Jacquie,Greco,harveys,D,25,"May 30, 1991",31,"Buffalo, NY",Syracuse University,https://stats.pwhpa.com/player/jacquie-greco/
Emma Buckles,Emma,Buckles,sonnet,D,25,"June 10, 1999",23,"Toronto, ON",Harvard University,https://stats.pwhpa.com/player/emma-buckles/
Alex Carpenter,Alex,Carpenter,scotiabank,F,25,"April 13, 1994",28,"North Reading, MA",Boston College,https://stats.pwhpa.com/player/alex-carpenter/
Kendall Coyne Schofield,Kendall,Coyne,adidas,F,26,"May 25, 1992",30,"Palos Heights, IL",Northeastern University,https://stats.pwhpa.com/player/kendall-coyne-schofield/
Cat Quirion,Cat,Quirion,scotiabank,D,26,"July 10, 1995",27,"Lac-Megantic, QC",Colgate University,https://stats.pwhpa.com/player/cat-quirion/
Emily Clark,Emily,Clark,harveys,F,26,"November 28, 1995",27,"Saskatoon, SK",University of Wisconsin - Madison,https://stats.pwhpa.com/player/emily-clark/
Erica Howe,Erica,Howe,sonnet,G,27,"July 17, 1992",30,"Ottawa, ON",Clarkson University,https://stats.pwhpa.com/player/erica-howe/
Kristen Richards,Kristen,Richards,harveys,D,27,"July 4, 1992",30,"Toronto, ON",Niagara University & Robert Morris Univ.,https://stats.pwhpa.com/player/kristen-richards/
Micah Zandee-Hart,Micah,Zandee-Hart,sonnet,D,28,"January 13, 1997",25,"Victoria, BC",Cornell University,https://stats.pwhpa.com/player/micah-zandee-hart/
Amanda Kessel,Amanda,Kessel,adidas,F,28,"August 28, 1991",31,"Madison, WI",University of Minnesota,https://stats.pwhpa.com/player/amanda-kessel/
Nicole Hensley,Nicole,Hensley,sonnet,G,29,"June 23, 1994",28,"Lakewood, CO",Lindenwood University,https://stats.pwhpa.com/player/nicole-hensley/
Marie-Philip Poulin,Marie-Philip,Poulin,harveys,F,29,"March 28, 1991",31,"Beauceville, QC",Boston University,https://stats.pwhpa.com/player/marie-philip-poulin/
Geneviève Lacasse,Geneviève,Lacasse,harveys,G,31,"May 5, 1989",33,"Kingston, ON",Providence College,https://stats.pwhpa.com/player/genevieve-lacasse/
Shea Tiley,Shea,Tiley,adidas,G,31,"December 2, 1996",26,"Owen Sound, ON",Clarkson University,https://stats.pwhpa.com/player/shea-tiley/
Samantha Donovan,Samantha,Donovan,adidas,F,32,"January 3, 1996",27,"New Brighton, MN",Brown University,https://stats.pwhpa.com/player/samantha-donovan/
Aerin Frankel,Aerin,Frankel,adidas,G,33,"May 24, 1999",23,"Chappaqua, NY",Northeastern University,https://stats.pwhpa.com/player/aerin-frankel/
Natasza Tarnowski,Natasza,Tarnowski,sonnet,F,33,"February 21, 1998",24,"Embrun, ON",Boston University,https://stats.pwhpa.com/player/natasza-tarnowski/
Amanda Makela,Amanda,Makela,scotiabank,G,34,"December 20, 1993",29,"Thunder Bay, ON",Mercyhurst University,https://stats.pwhpa.com/player/amanda-makela/
Maddie Rooney,Maddie,Rooney,adidas,G,35,"July 7, 1997",25,"Andover, MN",Univ. of Minnesota-Duluth,https://stats.pwhpa.com/player/maddie-rooney/
Ann-Renée Desbiens,Ann-Renée,Desbiens,harveys,G,35,"April 10, 1994",28,"La Malbaie, QC",University of Wisconsin - Madison,https://stats.pwhpa.com/player/ann-renee-desbiens/
Rebecca Leslie,Rebecca,Leslie,sonnet,F,37,"May 8, 1996",26,"Ottawa, ON",Boston University,https://stats.pwhpa.com/player/rebecca-leslie/
Sydney Scobee,Sydney,Scobee,adidas,G,37,"April 30, 1998",24,"Minnetrista, MN",University of Minnesota-Duluth,https://stats.pwhpa.com/player/sydney-scobee/
Emerance Maschmeyer,Emerance,Maschmeyer,scotiabank,G,38,"October 5, 1994",28,"Bruderheim, AB",Harvard University,https://stats.pwhpa.com/player/emerance-maschmeyer/
Lindsay Browning,Lindsay,Browning,sonnet,G,39,"March 28, 1999",23,"Penfield, NY",Cornell University,https://stats.pwhpa.com/player/lindsay-browning/
Blayre Turnbull,Blayre,Turnbull,scotiabank,F,40,"July 15, 1993",29,"Stellarton, NS",University of Wisconsin - Madison,https://stats.pwhpa.com/player/blayre-turnbull/
Grace Graham,Grace,Graham,scotiabank,F,42,"March 19, 1998",24,"Fredericton, NB",Cornell University,https://stats.pwhpa.com/player/grace-graham/
Claire Thompson,Claire,Thompson,sonnet,D,42,"January 28, 1998",24,"Toronto, ON",Princeton University,https://stats.pwhpa.com/player/claire-thompson/
Kristin O’Neill,Kristin,O’Neill,adidas,F,43,"March 30, 1998",24,"Oakville, ON",Cornell University,https://stats.pwhpa.com/player/kristin-oneill/
Sarah Potomak,Sarah,Potomak,adidas,F,44,"December 19, 1997",25,"Aldergrove, BC",University of Minnesota,https://stats.pwhpa.com/player/sarah-potomak/
Jamie Lee Rattray,Jamie,Lee,harveys,F,47,"September 30, 1992",30,"Kanata, ON",Clarkson University,https://stats.pwhpa.com/player/jamie-lee-rattray/
Kristen Campbell,Kristen,Campbell,scotiabank,G,50,"November 30, 1997",25,"Brandon, MB",Univ. of Wisconsin & Univ. of North Dakota,https://stats.pwhpa.com/player/kristen-campbell/
Victoria Bach,Victoria,Bach,scotiabank,F,51,"July 12, 1996",26,"Milton, ON",Boston University,https://stats.pwhpa.com/player/victoria-bach/
Bailey Larson,Bailey,Larson,harveys,F,61,"November 5, 1996",26,"Sycamore, IL",Colgate University,https://stats.pwhpa.com/player/bailey-larson/
Ella Matteucci,Ella,Matteucci,sonnet,D,71,"August 2, 1993",29,"Fruitvale, BC",Clarkson University,https://stats.pwhpa.com/player/ella-matteucci/
Laura Dostaler,Laura,Dostaler,adidas,F,72,"September 17, 1991",31,"Edmonton, AB",-,https://stats.pwhpa.com/player/laura-dostaler/
Karell Emard,Karell,Emard,harveys,F,76,"April 18, 1988",34,"Ste-Angele de Monnoir, QC",St. Lawrence University,https://stats.pwhpa.com/player/karell-emard/
Rosalie Demers,Rosalie,Demers,harveys,F,81,"June 15, 2000",22,"Blainville, QC",Colgate University,https://stats.pwhpa.com/player/rosalie-demers/
Demi Crossman,Demi,Crossman,sonnet,F,82,"December 14, 1994",28,"Livonia, MI",University of Minnesota Duluth,https://stats.pwhpa.com/player/demi-crossman/
